Doel;Doel_SOAtest;Screeningsprofiel;Screeningsprofiel_uitgeschreven;Screeningsprofiel_SOAtest;Doel toelichting;In functie;In naam Belanghebbende;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;Tot;FA1;FA2;FA3;FA4;FA5;FA6;FA7;FA8;FA9;FA10
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;leraar in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;arts niet in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;AIOS;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;Arts in opleiding tot specialist;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;lerares in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);45;Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;label=Gezondheidszorg en welzijn van mens en dier / Health care and welfare of people or animals;opleiding Helpende Zorg en Welzijn;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;Opleiding Particullier Beveiliger;;;11;12;37;41;;;;;;;4;Bevoegdheid hebben tot het raadplegen en/of bewerken van systemen;Met gevoelige/vertrouwelijke informatie omgaan;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);60;Onderwijs / Education;label=Onderwijs / Education;leerkracht in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Werkrelatie (COVOG NP);label=Werkrelatie (COVOG NP);75;(Gezins)voogd bij voogdijinstellingen, reclasseringswerker, raadsonderzoeker en maatschappelijk werker / Family supervisor, probation officer, child welfare investigator, social worker;label=(Gezins)voogd bij voogdijinstellingen, reclasseringswerker, raadsonderzoeker en maatschappelijk werker / Family supervisor, probation officer, child welfare investigator, social worker;maatschappelijk werker in opleiding;;;;;;;;;;;;;0;;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;%toegang%;;Ministerie van defensie , DHC, HBIV;12;37;41;;;;;;;;3;Met gevoelige/vertrouwelijke informatie omgaan;Het beschikken over goederen;Het verlenen van diensten (advies, beveiliging, schoonmaak, catering, onderhoud, etc.);;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;tbv ACN-pas;;Air Cargo Netherlands;62;;;;;;;;;;1;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;;;;;;;;;
Overig (COVOG NP);label=Overig (COVOG NP);;;;aanvraag ACN pas;;Air Cargo Netherlands;37;62;;;;;;;;;2;Het beschikken over goederen;(Rijdend) vervoer waarbij goederen, producten, post en pakketten worden getransporteerd en/of bezorgd, anders dan het intern transport binnen een bedrijf;;;;;;;;
